Thonmaeserd Barbedbelt
Elndrubelyn Longbow
Doggealsia Wolddelver
Thiggilynn Earthback
Hemroula Jademail
Arakkilydd Bloodchest
Hadotrud Mountainfeet
Garneamora Axeaxe
Tuzouhilde Thunderbrewer
Gikgreadeth Eartharm
Raneatelin Bottleflayer
Skozaegret Lightmantle
Khuvrostr Brewbane
Werarona Bluntforge
Houlala Treasurebraid
Vasideth Orcsword
Duddagrett Runehead
Orirbobena Warmback
Skagreahulda Mountainsunder
Dazzuigit Blunthood
Mumribelynn Cavebranch
Thokholine Ashguard
Glataestr Magmabrewer
Hudwagit Leatherblade
Norgrobera Wyvernpike
Nergugrett Oaksword
Glakoubelyn Lavajaw
Gruznutalyn Steelmaster
Thobruigit Deepriver
Kherdrela Steelmaster
Darenwala Chaosbraid
Thidmaren Coalfoot
Thukwuginn Wyvernminer
Dwodaginn Frostbender
Weralgealine Minefinger
Houkdraebena Windhide
Gizzatrud Honorhand
Groudmoulynn Runemail
Whumnibela Largegut
Barighaginn Plateforge
Lukritrud Battlebrow
Hestouni Twilightbuster
Lomnowynn Plateblade
Dhurmotrude Embershield
Fosdrabera Deepdelver
Marramora Browntoe
Elrbibyrn Hardshoulder
Bestotalyn Leadmane
Mumdaelsia Bitterblade
Dakgribella Whitdigger
Skavihilde Alesword
Thirnounelyn Gravelhand
Vadwongrid Trollbender
Datrere Flaskchin
Glorikiserd Opalforge
Skarrubyrn Jadebender
Groomraethra Amberminer
Nommitrud Boulderbreaker
Brustelsia Wraithgrog
Maggeabella Bonesword
Wekhithra Fierybrewer
Dhudgraeren Blackspine
Webralyn Oakcloak
Nurarfeabyrn Ingotfoot
Thindrilyn Undergrog
Throkwaginn Koboldchin
Norbouthra Amberriver
Duridgrugret Oreriver
Kirgruserd Mudstone
Balaehilda Oakflayer
Thadrilynn Silvertank
Agrenelyn Duskforge
Darroubelynn Runebender
Grukwaetrud Fieryarmour
Safroubera Hillmaker
Werazmougret Warmtank
Orirseala Flintmantle
Fowatryd Nighthorn
Valdririka Steelhead
Whurgibelyn Koboldstone
Jatgrotryd Orcbrew
Kamnealydd Ashflayer
Krandiline Orccoat
Skasitelyn Windjaw
Khoungrogith Mithrilbrewer
Bramoubo Iceshield
Baritgrotain Metalrock
Nuranwinelyn Battleshaper
Makdreanelynn Kegbrewer
Lufraemora Blackblade
Brogribo Metalsword
Thesairgit Ironcloak
Mofreathra Brownbelt
Thenoda Oakenjaw
Dermatryd Platebrew
Skosdreani Cointoe
Umigrunelynn Darkhead
Runoubela Longfury
Thardubelynn Berylcoat
Yamwouwynn Alebender
Noratelsia Frosthelm
Throzoure Graythane
Kiddubo Woldbringer
Thrakhelynn Steelspine
Mosdritrud Marblebender
Kratgruilynn Iceshoulder
Thidwabela Barbedmaul
Dordaelyn Flinthide
Whukribelynn Strongfoot
Gikkeadrid Noblegranite
Hezagar Underhorn
Broumulsia Opalbow
Jondilin Rubybelly
Arfulda Nightbraid
Skalgrobella Dragonmail
Silmogaer Bottleforged
Duddorika Iceback
Throfraelin Brightbow
Kromwewynn Whitbender
Thelgaebena Amberbow
Jarbure Oretoe
Raboutryd Axecoat
Malaetalyn Graycloak
Kovirra Goldbane
Glorilgralda Duskbow
Girolynn Rubybringer
Tunana Emberbrewer
Onmaebena Bristlemail
Gralgraetrud Orcbreaker
Dalosulda Bonehorn
Defutelin Darkcoat
Durigruda Goldengut
Umidemora Bronzehand
Grawibyrn Bloodbringer
Alfotgrutrud Jadegranite
Fighuwynn Merrybelt
Bhadwelydd Ingottank
Ruzneda Brownfall
Ranwehulda Bitterbrand
Groorselin Snowbrewer
Thrandreahulda Silverarm
Bargraebena Largebraids
Boseren Hornminer
Thrakwire Anvilbraids
Groodirika Coalcoat
Hotdrutalyn Ingothead
Dosouginn Barbedbasher
Glagruinelyn Marblehide
Westalsia Bittershoulder
Dalorfousli Alebraid
