Theobald Grubb
Dagaric Proudmead
Floribert Bophin
Audramnus Dewfoot
Frodo Brandagamba
Lotho Brandywood
Reginard Labingi
Nithard Labingi
Hending Stoor
Marmadoc Took-Brandybuck
Halinard Hopesinger
Notger Pott
Guntramn Greenhand
Sunnegisil Underhill
Matta Bracegirdle
Inigo Mugwort
Medard Goodchild
Cottar Fleetfoot
Wandregisilus Clayhanger
Cerdic Twofoot
Emmon Hornblower
Tobold Bolger-Baggins
Syagrius Gardner
Nibelung Gammidge
Clodomir Mugwort
Wilcome Whitbottom
Hamfast Hairyfoot
Dagobert Littlefoot
Audoen Bolger-Baggins
Ebroin Rumble
Engelbert Fleetfoot
Fastred Fairfoot
Cedivar Whitbottom
Norbert Pott
Goscelin Maggot
Gerold Townsend
Arnoul Sandyman
Hincmar Chubb
Maixent Boulderhill
Munderic Finnagund
Gundobad Brown
Anskar Hlothran
Blutmund Smallburrow
Angilbert Hairyfoot
Robur Took
Saradas Puddlefoot
Charibert Littlefoot
Porro Gamgee
Tescelin Lothran
Ilberic Goodwort
Helisachar Cotton
Gringamor Underlake
Ingund Puddlefoot
Gringamor Oldbuck
Tomacca Chubb
Willehad Silentfoot
Gormadoc Brockhouse
Matfrid Langham
Guntram Bophin
Chlodwig Gaukrogers
Goodwill Cutton
Gormadoc Proudmead
Cassyon Silentfoot
Mansuetus Stoor
Wiseman Bramblethorn
Timothy Whitfoot
Seredic Took
Sigefroy Underhill
Dodo Bolger-Baggins
Uffo Silentfoot
Egide Fairbairn
Theuderic Gaukrogers
Conrad Goodsong
Durand Brandybuck
Rollo Hairyfoot
Theudebert Goodsong
Anno Hairyfoot
Engilbert Underhill
Prospero Chubb-Baggins
Bilba Longbottom
Matfrid Bolger-Baggins
Hildebald Goodwort
Posco Noakesburrow
Remi Dewfoot
Walcaud Diggle
Hildebald Pott
Bob Twofoot
Arbogastes Boulderhill
Ratold Galbassi
Otker Longbottom
Odilon Fallohide
Adaldag Hornblower
Wibert Finnagund
Cotman Fairbairn
Dalfin Gluttonbelly
Warmann Silentfoot
Adelard Proudmead
Charles Labingi
Ebroin Fairfoot
Longo Diggle
Bob Stumbletoe
Humbert Noakesburrow
Ouen Hayward
Alberic Hogpen
Flambard Sackville
Cheldric Butcher
Notger Smallburrow
Evroul Longriver
Evroult Galbassi
Will Gammidge
Nithard Hornblower
Sigeric Rumble
Harding Stoor
Nithard Riverhopper
Erling Wanderfoot
Chlotar Harfoot
Otton Bolger
Moro Took
Erling Smallburrow
Bero Gamgee
Fastred Boffin
Fridolin Greenhand
Isengrin Bophin
Habaccuc Bracegirdle
Filibert Proudfoot
Britius Harfoot
Mansuetus Goodwort
Emme Longbottom
Theodoric Goodsong
Remi Longhole
Razanur Hedgehopper
Heribert Underburrow
Hildigard Boffin
Chararic Bottomhill
Razo Goldworthy
Razo Greenhand
Dodinas Brandybuck
Ferdinand Fairbairn
Eracle Pott
Gunthar Gammidge
Thierry Barrowes
Isengrin Bolger-Baggins
Nithard Twofoot
Bertram Goodchild
Waltgaud Hornwood
Grossman Proudmead
Milo Goodbody
Nick Stumbletoe
Pepin Cotton
Ingelram Hayward
