Bubromli Berylgrip
Strorgerlug Trolldelver
Groughoun Berylmail
Groorhet Dimbender
Brokgrumin Mudbelt
Brourgami Bristlefoot
Dulatir Icehead
Kasaes Alehelm
Jodmim Mountainjaw
Hekdrami Bluntarmour
Bhardril Mithrilmantle
Udrumir Smelthand
Gizzer Orebranch
Jobuil Whitshoulder
Bavril Woldshaper
Bhasseath Cavehead
Broutdrorlun Golddelver
Berhum Leadbringer
Glanmamri Twilightblade
Muddomi Goldenblade
Dadmouc Giantminer
Branmomri Lightbreaker
Gorhulim Granitehorn
Urgem Smeltmaul
Kraggumir Longaxe
Astreac Cavebrand
Lokgroir Ashbraids
Umilmuil Oakenchest
Glasgrerlug Hillbringer
Vovamli Oakenheart
Khoukhaeth Drakeriver
Groorfumir Onyxbuckle
Gizaek Amberhide
Henduri Honorriver
Thurroick Lavafinger
Thassol Ironbraids
Brutdrom Woldbeard
Whukruik Warmmane
Durisoic Heavyblade
Yuvrami Steelheart
Londromi Thundertank
Kodmumri Hammerflayer
Hastumlir Blazingbow
Normen Undergut
Gisol Oakcloak
Hosdrin Mithrilmantle
Dughaed Mudbelt
Barizout Battlebow
Thazuik Snowheart
Lokock Thundermantle
Marhed Brickfoot
Girgronlim Granitemane
Nomuck Strongbelt
Brurromri Mountainshield
Kakhomri Snowmaster
Bufoic Treasurebow
Dalomneac Brickhide
Krasic Goldchest
Hoummith Lavahood
Torestum Treasuregrog
Yonerlug Wraithmaul
Gidgrurim Rubystone
Throrgear Warmdelver
Luthum Brickaxe
Glorikhud Marblesunder
Gigrorlig Grumbleforge
Bakgrirlum Onyxbraid
Yoraem Twilightfury
Bavith Bristleshield
Barmamli Flintsword
Khekdrean Fierybuster
Sarhumir Twilightbrewer
Webas Stormflayer
Dukhoth Hardbrewer
Dhulaem Platehorn
Barindrorlum Koboldaxe
Reitgraic Leadaxe
Thonmid Barbedminer
Bagnumlin Longbane
Saddean Nobleheart
Dukug Leatherbranch
Naverlum Blessedhand
Skardroc Redfury
Voddatin Brighthide
Ararsel Brownbringer
Vovoth Goldbrand
Foldrael Magmabraids
Kathomri Barbedtoe
Hedgromri Flintmane
Kheldrouc Largefoot
Dodael Opalhand
Hammumlir Greatbrew
Skordit Beastback
Kromum Leatherguard
Thegrumin Blazinghelm
Kadol Strongmaker
Giznamri Goldhide
Snazzus Emberforged
Thorhonlir Boulderpike
Alforgreack Kraghead
Arargreal Alehorn
Kratdrouk Goldengrip
Jalmin Iceview
Snakgrout Orethane
Nokouk Dusksunder
Girdot Axebrew
Bukdroir Nightmail
Dhunuik Stormmantle
Skormonlim Chaosgranite
Bhadruik Longmane
Skorgreak Giantstone
Ranmouk Magmagrip
Glarruck Pebblebreaker
Barhouc Keghide
Hakock Koboldbender
Skotud Windstone
Korfumin Shadowdigger
Darevomi Orejaw
Lorbuk Caskheart
Dalotgrirlum Coalmaker
Umingrid Shatterdelver
Gostrouth Platechest
Thisdrumli Trolltank
Kustreat Battlespine
Bhateag Undercoat
Lotatin Granitespine
Goddoir Dimtoe
Throngroid Greysunder
Kitgrur Fierybreaker
Lothog Sapphiredelver
Thakud Sapphirehide
Torezaeck Coalgut
Thornaic Fieryshoulder
Bruzmonlim Ingotview
Durignoug Minesword
Gragneak Lavabelly
Brafrut Onyxriver
Khoumrus Coalblade
Khundeath Aletoe
Norazun Nightmaul
Gagrag Whitcoat
Nudot Mudbender
Thatdrunri Duskbow
Mokhous Cragfoot
Welmotir Stronghorn
Algouth Ironmantle
Dhukhuli Thundergut
Nedmouck Berylhead
Nurnerlug Ambershaper
Skalonlir Trollmaker
Arandomli Koboldbringer
Botmus Heavybuckle
Glorizmumi Wraithmace
Boghag Orcforged
Berdaes Bottlebelly
Thrakhouc Kragbuckle
Snazmud Noblechin
Orivil Brewmane
Forgul Ingotmaster
Throsgrul Lightbasher
