Nhamashal Ianra
Jhaan Mianeiros
Theodmer Orilar
Methild Ventumal
Ruvaen Wysavaris
Lathlaeril Pethana
Ganamede Virtris
Akkar Ianmaer
Felaern Uriydark
Folwin Shamaer
Luirlan Xyrlynn
Arlen Urifir
Selanar Naetumal
Jhaeros Krisnorin
Lhoris Qigolor
Ryo Fenmoira
Ethlando Zylnala
Ardreth Heiynore
Folmon Oloven
Ilthuryn Aeris
Elorshin Ilimaer
Marlevaur Iarmenor
Rhistel Ianzeiros
Jhaartael Ulamyar
Ilbryen Zumxalim
Dyffros Heisys
Alre Advaris
Vaeril Yllatoris
Ilvisar Helegella
Hagen Mormaris
Virion Beivaris
Paeral Ularalei
Sanev Trisdi
Illianaro Zinrora
Durothil Quirieth
Braern Shatoris
Erolith Sarmaris
Rhangyl Elazumin
Aywin Xyrphyra
Uldreyin Fendithas
Silvyr Elbella
Aiduin Inalee
Lathlaeril Daelar
Shaundyl Xyrbella
Orym Leoydark
Kolvar Thelen
Pelleas Aenan
Wirenth Joven
Ruith Shaleth
Dain Yinkian
Tolith Petna
Glarald Farkalyn
Athtar Farkalyn
Folen Phiyarus
Tanyth Liadithas
Aymar Wysaqen
Yalathanil Theris
Kieran Keylar
Emmyth Farneiros
Kendel Elra
Castien Jogolor
Luvon Adlynn
Feyrith Phidi
Zeno Dana
Ailluin Liawraek
Folmon Norleth
Eldar Iliqen
Elandorr Glyndove
Illitran Ralophine
Gormer Rojyre
Jhaan Rofiel
Ailduin Venmaris
Laiex Daeran
Folmer Falar
Myrdin Phisalor
Hagduin Luna
Theodre Inaralei
Mirthal Umefaren
Delsaran Liajeon
Katar Phicaryn
Ailmer Oririe
Folmer Umeroris
Lathai Iankian
Ruehnar Luthana
Respen Erven
Simimar Carsatra
Alaion Valxidor
Nindrol Crafir
Urdusin Olofir
Alre Loraxina
Nyvorlas Keymoira
Erendriel Morthana
Emmyth Zumzorwyn
Wistari Liagolor
Uevareth Qiquinal
Reluvethel Magcyne
Mythanar Iliroris
Aumanas Mirathyra
Ninthalor Chaemys
Pyrravyn Helecyne
Garrik Qindove
Gormer Ianneiros
Vuduin Magven
Itham Ravalee
Orist Fargolor
Halueth Virxina
Morthil Trismoira
Aired Omalar
Theodluin Yllalar
Inchel Qinjeon
Faelar Trisphyra
Raeran Yllageiros
Pyrravyn Miajor
Jannalor Jofina
Estelar Chaesys
Elauthin Ralomyar
Folred Eilphyra
Giullis Grezana
Fhaornik Daquinal
Phaendar Dadi
Samblar Yinsandoral
Malgath Elanan
Folmon Thewynn
Hastios Xyrdi
Katar Miaxalim
Almon Inalee
Entrydal Genstina
Eldaerenth Reywynn
Hagduin Petdithas
Raibyn Enjor
Sanev Erhorn
Aquilan Reysatra
Rothilion Perhice
Iymbryl Cardan
Alabyran Orixalim
Ailwin Persalor
Vulre Norpetor
Illitran Quilamin
Aumanas Greyra
Rhistel Perven
Kellam Wysarie
Aumrauth Rorel
Filverel Ilizana
Darthoridan Leosatra
Theodmon Luwynn
Vulred Wysaris
Vamir Trisbalar
Ryfon Brywraek
Alred Luqen
Luvon Herfiel
