Grri Crackedpincer
Sros Stainpincer
Tso Scuzfuse
Ihz Woespear
Nehn Sludgebrass
Zhezriz Grappletoes
Daengihn Fastsmile
Geilgihr Soilhammer
Hrutszie Groundhammer
Teshohr Faileyes
Rraz Claydent
Kneihn Molestick
Ga Blighttooth
Zhur Splitnail
Sohz Sweateye
Eilroz Soremouth
Knonroth Brinenail
Rrhowuhr Dirtmask
Tertryhn Cracktalon
Rrhasnuh Grappledeath
Driz Loosebolt
Meth Mucussmile
Turth Slabsnag
Yh Clayfist
Orth Stainpince
Ubliehn Ashpaw
Khyhnirh Dregshead
Reathviz Sootfists
Rryngerh Blightwizzle
Knaszrurth Deadfingers
Zer Spliteye
Gerth Splitcrook
Ar Filthgrin
Uh Blightgrin
Mryth Dregswizzle
Grrirxahn Pebblefoot
Traigruz Looseshrapnel
Botszas Siltgrappler
Hratsash Bursteyes
Trresgehn Greasefeet
Her Foambarb
Hrahz Goohand
Thihz Lardcrook
Myh Dreckguard
Srohn Lardguise
Thielvehn Dampeye
Gryseih Deadscowl
Knaerroth Frothhallow
Mybno Mudwatch
Vythnyr Foambolt
Shirth Fastfang
Is Scuzclash
Ar Rotglob
Yrh Deadgrapnel
Dhihr Clayfeet
Pergith Fungusguard
Hazhuiz Sludgegrin
Draiszhuhn Frothtalon
Sugrui Murkwizzle
Baznosh Dampdent
Orth Tamewatch
Ny Sandcloak
Rheath Rivershrapnel
Lah Soretoe
Tiash Fungusfang
Vaalmarh Ashpaw
Heilne Rivergob
Zhortei Filthhand
Tronvieth Brinehook
Songeh Splitfingers
Gluhz Sleazeteeth
Kni Rivernose
Arh Foamnose
Srohn Slabnails
Kheir Fizzlegrappler
Timsu Foamclash
Srizheas Snothunter
Suiblah Snoreknuckle
Regrur Burstmouth
Gniasgyhz Slimeface
Ni Miregall
Pihr Slimetalon
Gny Frothtalon
Ruis Rivernails
Snu Murkgrappler
Rrhirxiehr Miresmirk
Trytnur Burstfeet
Dhugzih Pestmug
Sreithgy Snorefingers
Zuirtihn Deadgrinder
Tris Murkstick
Szurth Sleazedeath
Zha Crackgrin
Tsihr Deadtongue
Knes Mudscowl
Dhyzny Sweatblast
Byslyz Failteeth
Zainrohr Foampinch
Rrhaesuhn Pebblehook
Ballahr Blightgrappler
Siesh Scumgrin
Trri Goldnails
Gnaihz Muckfist
Vyh Pebblenail
Tsith Sandeye
Yssehr Failgrinder
Snushi Deadgall
Zethnuirth Siltglob
Grrahnu Filthpinch
Rhatuhn Goreear
Rrhyr Slimefists
Szish Murkgleam
Tryth Oozetongue
Rihn Muckfists
Lohn Rentgrinder
Trrosohr Splitpincer
Riata Glophallow
Thyzshahr Riverteeth
Sziezreith Staindance
Gylzehz Sweatbarb
Grrith Claybasher
Dhohz Mucktooth
Szo Scourgecloak
Py Groundeyes
Iash Pestfinger
Tselnu Groundhands
Dheiddur Siltclash
Pemvar Muckgaze
Szewvirh Pebbletongue
Tothgeh Woeears
Glia Greasefinger
Thihz Snoregrin
Trrirh Sweatpincer
Viz Soregrin
Trry Deadtine
Mraasher Oozeeye
Rrhybne Fasthunter
Leszraerh Dustfuse
Utsherth Salttine
Szeadis Greaseeyes
Dhe Fizzhammer
Vyh Gunkgleam
Bu Sandfangs
Rhyz Rottongue
Grei Scuzfingers
Sruvliahr Sludgefist
Snailaahn Mudfuse
Yhrroh Brokenfists
Rrhohnyrth Tamenails
Paatzi Loosehook
Rrheirh Sweatblase
Shus Lumpfinger
Tsa Snotwatch
Ahr Fastcast
Trreah Sludgetusk
Baawohr Woehand
Gnuggirth Frothgrapnel
Seithnu Loosefist
Oggez Scuzfinger
Azsurh Splitskin
Rrohr Greasefoot
Sziah Dregspincer
Dhaz Foamcheek
Glorh Ashmug
Rath Scuztooth
Dherhihz Dustclaw
Gruhrruz Rotclub
Mistraath Roteyes
Zablis Failgrinder
Khezharth Deadnail
